,,Phenotypic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM
Environment: Ikenne,BRNLEV9,0.0799993848197265,,,,,,,,,,,,,,,,,,,,0.0889968950951623,,,,,,,,,,,,,,,,,,
,PLTHT9,0.255870565220602,0.0590924328267045,,,,,,,,,,,,,,,,,,,0.0000000333154681619874,0.209357681240524,,,,,,,,,,,,,,,,,
,NOHAV,-0.207144155918872,0.125090957072216,0.105728846390822,,,,,,,,,,,,,,,,,,0.00000879187013058669,0.00768666475062973,0.0244232617307327,,,,,,,,,,,,,,,,
,RTNO,-0.425355278754352,0.021055748403387,0.126640433177005,0.480397022939787,,,,,,,,,,,,,,,,,0,0.654905643627651,0.00695866406583345,0,,,,,,,,,,,,,,,
,STARCH,0.0582629098403495,0.0974766255959729,0.249659536019818,0.0570441677536954,0.107295566400437,,,,,,,,,,,,,,,,0.215834230170293,0.0380903117904756,0.0000000726382447524543,0.225608521154294,0.0223748027727684,,,,,,,,,,,,,,
,BRNHB9,-0.0390256455876881,0.534172201884466,-0.0242452034809778,0.0785545583825737,0.149424030755465,0.0538410935820902,,,,,,,,,,,,,,,0.407311141058756,0,0.606776715494876,0.094938922360766,0.00142544970574709,0.252786899889806,,,,,,,,,,,,,
,ANGBR9,0.0205717291930235,0.207971530524773,0.205169067695784,-0.0761405751461559,-0.0433205196930886,0.0350595647620079,-0.163327915229879,,,,,,,,,,,,,,0.662342711531516,0.00000807876443653655,0.0000107444030552628,0.10556927878645,0.35762001050396,0.456653970409447,0.000482844907433666,,,,,,,,,,,,
,STMDI9,0.168069598195646,0.197972024217777,0.632480481704688,0.0335771167684652,0.0587159126455183,0.170274745213529,0.181261978800679,0.236324774866949,,,,,,,,,,,,,0.000327061930880834,0.0000219539055370532,0,0.475923073427314,0.212279783617644,0.000271896919996184,0.000104685743701038,0.000000361398469150842,,,,,,,,,,,
